u.site...c..transect...,Gr.3,Gr.4,Gr.5,Gr.6,Gr.7,Gr.8,Gr.9,Gr.10,Gr.11,Gr.12,Gr.13,Gr.14,Gr.15
18_069,1,2,2,2,2,2,2,2,2,2,5,5,5
18_070,1,2,2,2,2,2,2,2,2,2,5,5,5
18_071,1,2,2,2,2,2,2,2,2,2,5,5,5
18_072,1,2,2,2,2,2,2,2,2,2,5,5,5
18_073,1,2,2,2,2,2,2,2,2,2,5,5,5
18_074,1,2,2,2,2,2,2,2,2,2,5,5,5
18_075,1,2,2,2,2,2,2,2,2,2,5,5,5
18_076,1,2,2,2,2,2,2,2,2,2,5,5,5
18_077,1,2,2,2,2,2,2,2,2,2,5,5,5
18_078,1,2,2,2,2,2,2,2,2,2,5,5,5
18_079,1,2,2,2,2,2,2,2,2,2,5,5,5
18_080,1,2,2,2,2,2,2,2,2,2,5,5,5
18_081,1,2,2,2,2,2,2,2,2,2,5,5,5
18_082,1,2,2,2,2,2,2,2,2,2,5,5,5
18_083,1,2,2,2,2,2,2,2,2,2,5,5,5
18_084,1,2,2,2,2,2,2,2,2,2,5,5,5
18_085,1,2,2,2,2,2,2,2,2,2,5,5,5
18_086,1,2,2,2,2,2,2,2,2,2,5,5,5
18_087,1,2,2,2,2,2,2,2,2,2,5,5,5
18_088,1,2,2,2,2,2,2,2,2,2,5,5,5
18_089,1,2,2,2,2,2,2,2,2,2,5,5,5
18_090,1,2,2,2,2,2,2,2,2,2,5,5,5
18_091,1,2,2,2,2,2,2,2,2,2,5,5,5
18_092,1,2,2,2,2,2,2,2,2,2,5,5,5
18_093,1,2,2,2,2,2,2,2,2,2,5,5,5
18_094,1,2,2,2,2,2,2,2,2,2,5,5,5
18_095,1,2,2,2,2,2,2,2,2,2,5,5,5
18_096,1,2,2,2,2,2,2,2,2,2,5,5,5
18_097,1,2,2,2,2,2,2,2,2,2,5,5,5
18_098,1,2,2,2,2,2,2,2,2,2,5,5,5
18_099,1,2,2,2,2,2,2,2,2,2,5,5,5
18_100,1,2,2,2,2,2,2,2,2,2,5,5,5
21_001,1,1,1,1,1,1,1,1,1,1,1,1,1
21_002,1,1,1,1,1,1,1,1,1,1,1,1,1
21_003,1,1,1,1,1,1,1,1,1,1,1,1,1
21_004,1,1,1,1,1,1,1,1,1,1,1,1,1
21_005,1,1,1,1,1,1,1,1,1,1,1,1,1
21_006,1,1,1,1,1,1,1,1,1,1,1,1,1
21_007,1,1,1,1,1,1,1,1,1,1,1,1,1
21_008,1,1,1,1,1,1,1,1,1,1,1,1,1
21_009,1,1,1,1,1,1,1,1,1,1,1,1,1
21_010,1,1,1,1,1,1,1,1,1,1,1,1,1
21_011,1,1,1,1,1,1,1,1,1,1,1,1,1
21_012,1,1,1,1,1,1,1,1,1,1,1,1,1
21_013,1,1,1,1,1,1,1,1,1,1,1,1,1
21_014,1,1,1,1,1,1,1,1,1,1,1,1,1
21_015,1,1,1,1,1,1,1,1,1,1,1,1,1
21_016,1,1,1,1,5,5,6,7,8,9,10,10,10
21_017,1,1,1,1,5,5,6,7,8,9,10,10,10
21_018,1,1,1,1,5,5,6,7,8,9,10,10,10
21_019,1,1,1,1,5,5,6,7,8,9,10,10,10
21_020,1,1,1,1,5,5,6,7,8,9,10,10,10
21_021,1,1,1,1,5,5,6,7,8,9,10,10,10
21_022,1,1,1,1,5,5,6,7,8,9,10,10,10
21_023,1,1,1,1,5,5,6,7,8,9,10,10,10
21_024,1,1,1,1,5,5,6,7,8,9,10,10,10
21_025,1,1,1,1,5,5,6,7,8,9,10,10,10
21_026,1,1,1,1,5,5,6,7,8,9,10,10,10
21_027,1,1,1,1,5,5,6,7,8,9,10,10,10
21_028,1,1,1,1,5,5,6,7,8,9,10,10,10
21_029,1,1,1,1,5,5,6,7,8,9,10,10,10
21_030,1,1,1,1,5,5,6,7,8,9,10,10,10
21_031,1,2,2,2,2,2,2,2,2,2,2,2,2
